id|nombre_completo|tipo_documento|numero_documento|tipo_telefono|telefono_contacto|correo_electronico|direccion|tipo_solicitud|fecha_radicacion|canal_recepcion|asunto_titulo|descripcion_detallada|tipo_mascota|campus_relacionado|fecha_maxima_respuesta|estado_peticion|usuario_registro
1|Felipe Camila Vargas Castaño|CC|1005032582|Celular|3068015764|felipe.castano1@correo.com|Carrera 55 #8-73|Peticion|2026-09-04 12:37:03|Presencial|Solicitud de cita para esterilización|Quisiera solicitar una cita para el procedimiento de esterilización de mi otro lo antes posible.|Otro|Campus Medellín - Sede de Posgrado|2026-10-04 12:37:03|Solucionada|mtorres_udea
2|Vanessa Zuluaga Betancourt|PP|1019361589|Celular|3216175466|vanessa.betancourt2@outlook.com|Carrera 74 #82-25|Peticion|2026-04-02 15:54:08|Página web|Solicitud de certificado de vacunación|Solicito se me expida el certificado de vacunación de mi gato atendida recientemente.|Gato|Campus Medellín - Ciudadela Robledo|2026-05-02 15:54:08|Solucionada|jbedoya_udea
3|Andrés José Ortiz Franco|TI|1040234045|Otro|3025095259|andres.franco3@correo.com|Diagonal 64 #44-94|Peticion|2026-09-14 12:29:37|Teléfono|Petición de horario de atención|Necesito conocer el horario de atención del hospital veterinario para planear una visita con mi gato.|Gato|Campus Medellín - Edificio San Ignacio|2026-10-14 12:29:37|Solucionada|mvelez_udea
4|Daniela Valentina Duque Arboleda|CE|1042110478|Fijo|3159332820|daniela.arboleda4@outlook.com|Transversal 12 #35-61|Peticion|2026-08-14 07:42:04|Otro|Solicitud de valoración nutricional|Pido una valoración nutricional para mi otro debido a un cambio reciente en su peso.|Otro|Campus Medellín - Ciudadela Robledo|2026-09-13 07:42:04|Registrada|jbedoya_udea
5|Hernán Fernanda Castaño Zuluaga|PP|1081996233|Corporativo|3071989091|hernan.zuluaga5@gmail.com|Avenida 32 #51-51|Peticion|2026-07-22 12:01:29|Teléfono|Solicitud de cita para esterilización|Quisiera solicitar una cita para el procedimiento de esterilización de mi gato lo antes posible.|Gato|Campus Medellín - Ciudadela Robledo|2026-08-21 12:01:29|Registrada|apineda_udea
6|Gabriela Valentina Betancur Londoño|PP|1011138017|Corporativo|3024891590|gabriela.londono6@gmail.com|Calle 76 #24-34|Peticion|2026-07-12 17:56:24|Página web|Solicitud de cita para esterilización|Quisiera solicitar una cita para el procedimiento de esterilización de mi perro lo antes posible.|Perro|Campus Medellín - Ciudad Universitaria|2026-08-11 17:56:24|Registrada|fherrera_udea
7|Iván Alejandro Franco Zuluaga|CE|1091345243|Fijo|3267678500|ivan.zuluaga7@udea.edu.co|Transversal 82 #52-8|Peticion|2026-09-20 17:43:47|Correo electrónico|Solicitud de certificado de vacunación|Solicito se me expida el certificado de vacunación de mi perro atendida recientemente.|Perro|Campus Medellín - Ciudadela Robledo|2026-10-20 17:43:47|Registrada|apineda_udea
8|Julián David Gutiérrez Quintero|CC|1003422671|Celular|3037312081|julian.quintero8@gmail.com|Avenida 78 #47-61|Peticion|2026-01-19 09:34:06|Presencial|Solicitud de valoración nutricional|Pido una valoración nutricional para mi gato debido a un cambio reciente en su peso.|Gato|Campus Medellín - Ciudadela Robledo|2026-02-18 09:34:06|En proceso|apineda_udea
9|Óscar Esteban Ramírez Muñoz|TI|1069301246|Celular|3039862688|oscar.munoz9@hotmail.com|Carrera 118 #4-98|Peticion|2026-06-24 11:30:53|Redes sociales|Solicitud de cita para esterilización|Quisiera solicitar una cita para el procedimiento de esterilización de mi otro lo antes posible.|Otro|Campus Medellín - Edificio San Ignacio|2026-07-24 11:30:53|Solucionada|mvelez_udea
10|Hernán Fernanda Uribe Herrera|TI|1029936146|Corporativo|3235016258|hernan.herrera10@udea.edu.co|Carrera 64 #46-94|Peticion|2026-04-18 15:49:32|Presencial|Solicitud de historia clínica|Solicito copia de la historia clínica de mi gato para efectos de un traslado de atención.|Gato|Campus Medellín - Ciudad Universitaria|2026-05-18 15:49:32|En proceso|apineda_udea
