id|nombre_completo|tipo_documento|numero_documento|tipo_telefono|telefono_contacto|correo_electronico|direccion|tipo_solicitud|fecha_radicacion|canal_recepcion|asunto_titulo|descripcion_detallada|tipo_mascota|campus_relacionado|fecha_maxima_respuesta|estado_peticion|usuario_registro
1|Hernán Andrés Zapata Serna|TI|1087258302|Celular|3274168753|hernan.serna1@gmail.com|Calle 13 #2-64|Queja|2026-06-23 07:55:49|Correo electrónico|Queja por incumplimiento de cita|La cita programada para mi otro no fue atendida en el horario acordado sin previa notificación.|Otro|Campus Medellín - Edificio San Ignacio|2026-07-23 07:55:49|Registrada|cparra_udea
2|Jorge Sánchez Jaramillo|NIT|880019775|Otro|3245505401|jorge.jaramillo2@correo.com|Diagonal 19 #50-55|Queja|2026-04-27 13:05:14|Presencial|Queja por demora en la atención|Deseo presentar una queja por el largo tiempo de espera que tuve para ser atendido con mi perro en el campus.|Perro|Campus Medellín - Antigua Escuela de Derecho|2026-05-27 13:05:14|En proceso|mtorres_udea
3|Emmanuel Sofía Vélez Palacio|PP|1064842005|Otro|3296989109|emmanuel.palacio3@outlook.com|Diagonal 20 #65-70|Queja|2026-07-12 11:53:56|Teléfono|Queja por trato del personal|Quiero manifestar mi inconformidad con el trato recibido por parte de uno de los funcionarios durante la atención de mi otro.|Otro|Campus Medellín - Edificio de Extensión|2026-08-11 11:53:56|Registrada|jbedoya_udea
4|Laura Cano Betancur|PP|1042230476|Otro|3193137973|laura.betancur4@hotmail.com|Carrera 11 #13-71|Queja|2026-09-16 15:18:34|Correo electrónico|Queja por demora en la atención|Deseo presentar una queja por el largo tiempo de espera que tuve para ser atendido con mi otro en el campus.|Otro|Campus Medellín - Casas Patrimoniales|2026-10-16 15:18:34|Solucionada|mtorres_udea
5|Ximena José Vargas Bedoya|NIT|806975906|Otro|3129895869|ximena.bedoya5@gmail.com|Calle 105 #1-15|Queja|2026-05-15 15:42:42|Página web|Queja por información contradictoria|Recibí información contradictoria sobre el procedimiento a seguir con mi otro en dos visitas distintas.|Otro|Campus Medellín - Ciudad Universitaria|2026-06-14 15:42:42|En proceso|mvelez_udea
6|Estefanía Andrés Escobar Ortiz|NIT|873078626|Fijo|3211409736|estefania.ortiz6@hotmail.com|Avenida 78 #53-91|Queja|2026-09-27 08:43:21|Correo electrónico|Queja por demora en la atención|Deseo presentar una queja por el largo tiempo de espera que tuve para ser atendido con mi otro en el campus.|Otro|Campus Medellín - Edificio de Extensión|2026-10-27 08:43:21|Registrada|scardenas_udea
7|Alejandra Mejía Pérez|PP|1060852120|Celular|3255831346|alejandra.perez7@outlook.com|Calle 100 #77-54|Queja|2026-02-05 10:44:56|Redes sociales|Queja por incumplimiento de cita|La cita programada para mi otro no fue atendida en el horario acordado sin previa notificación.|Otro|Campus Medellín - Edificio Antioquia|2026-03-07 10:44:56|Solucionada|rquintero_udea
8|Angélica Antonia Betancourt Ocampo|NIT|860345937|Celular|3262906751|angelica.ocampo8@outlook.com|Diagonal 25 #69-15|Queja|2026-08-20 09:43:20|Teléfono|Queja por trato del personal|Quiero manifestar mi inconformidad con el trato recibido por parte de uno de los funcionarios durante la atención de mi otro.|Otro|Campus Medellín - Edificio Antioquia|2026-09-19 09:43:20|Registrada|mvelez_udea
9|Laura David Ocampo Cárdenas|CE|1017111238|Corporativo|3131004520|laura.cardenas9@outlook.com|Transversal 98 #29-38|Queja|2026-05-26 09:51:44|Página web|Queja por demora en la atención|Deseo presentar una queja por el largo tiempo de espera que tuve para ser atendido con mi perro en el campus.|Perro|Campus Medellín - Ciudadela Robledo|2026-06-25 09:51:44|En proceso|mvelez_udea
10|Nicolás Andrés Palacio Uribe|NIT|842200081|Celular|3181788725|nicolas.uribe10@gmail.com|Calle 26 #39-43|Queja|2026-05-06 12:11:42|Redes sociales|Queja por trato del personal|Quiero manifestar mi inconformidad con el trato recibido por parte de uno de los funcionarios durante la atención de mi gato.|Gato|Campus Medellín - Sede de Posgrado|2026-06-05 12:11:42|Solucionada|fherrera_udea
11|Juan Valentina Sánchez López|TI|1075440662|Corporativo|3091794181|juan.lopez11@correo.com|Calle 71 #96-4|Queja|2026-06-20 13:04:33|Redes sociales|Queja por demora en la atención|Deseo presentar una queja por el largo tiempo de espera que tuve para ser atendido con mi gato en el campus.|Gato|Campus en el Área de la salud|2026-07-20 13:04:33|En proceso|mtorres_udea
12|Alexander José Duque Ríos|PP|1004186995|Corporativo|3034963770|alexander.rios12@outlook.com|Diagonal 40 #95-28|Queja|2026-07-18 17:31:06|Correo electrónico|Queja por incumplimiento de cita|La cita programada para mi gato no fue atendida en el horario acordado sin previa notificación.|Gato|Campus Medellín - Antigua Escuela de Derecho|2026-08-17 17:31:06|Registrada|admin_udea
13|Nicolás Camila Ramírez Zapata|NIT|819223791|Corporativo|3203755673|nicolas.zapata13@gmail.com|Carrera 10 #10-86|Queja|2026-03-02 13:27:37|Presencial|Queja por incumplimiento de cita|La cita programada para mi otro no fue atendida en el horario acordado sin previa notificación.|Otro|Campus Medellín - Sede de Posgrado|2026-04-01 13:27:37|En proceso|jgomez_udea
14|Ximena Fernanda Ramírez Mejía|CE|1054959203|Corporativo|3013283892|ximena.mejia14@hotmail.com|Transversal 74 #55-11|Queja|2026-03-18 10:11:04|Teléfono|Queja por demora en la atención|Deseo presentar una queja por el largo tiempo de espera que tuve para ser atendido con mi otro en el campus.|Otro|Campus Medellín - Edificio San Ignacio|2026-04-17 10:11:04|En proceso|dgiraldo_udea
15|Vanessa Alejandro Betancur Franco|TI|1050476300|Otro|3083054021|vanessa.franco15@outlook.com|Calle 119 #29-95|Queja|2026-02-07 08:55:16|Presencial|Queja por demora en la atención|Deseo presentar una queja por el largo tiempo de espera que tuve para ser atendido con mi otro en el campus.|Otro|Campus Medellín - Ciudadela Robledo|2026-03-09 08:55:16|Registrada|rquintero_udea
16|Vanessa Betancourt Restrepo|TI|1044342268|Fijo|3226517524|vanessa.restrepo16@gmail.com|Calle 18 #41-89|Queja|2026-01-17 13:11:13|Otro|Queja por falta de insumos|Presento queja porque no había insumos disponibles para la atención de mi otro el día de la visita.|Otro|Campus Medellín - Casas Patrimoniales|2026-02-16 13:11:13|Solucionada|mtorres_udea
17|Natalia Alejandro Vargas Castaño|PP|1000622674|Fijo|3097801749|natalia.castano17@gmail.com|Carrera 86 #94-94|Queja|2026-07-21 14:57:29|Correo electrónico|Queja por incumplimiento de cita|La cita programada para mi perro no fue atendida en el horario acordado sin previa notificación.|Perro|Campus Medellín - Antigua Escuela de Derecho|2026-08-20 14:57:29|Solucionada|mvelez_udea
18|David Alejandro Ortiz Quintero|TI|1024336206|Otro|3167045344|david.quintero18@gmail.com|Transversal 38 #62-98|Queja|2026-01-15 13:24:06|Otro|Queja por demora en la atención|Deseo presentar una queja por el largo tiempo de espera que tuve para ser atendido con mi gato en el campus.|Gato|Campus Medellín - Casas Patrimoniales|2026-02-14 13:24:06|Solucionada|admin_udea
19|Vanessa Andrés Peña Ceballos|TI|1057068843|Corporativo|3072682139|vanessa.ceballos19@correo.com|Avenida 16 #93-87|Queja|2026-01-12 14:10:30|Teléfono|Queja por falta de insumos|Presento queja porque no había insumos disponibles para la atención de mi otro el día de la visita.|Otro|Campus en el Área de la salud|2026-02-11 14:10:30|Registrada|scardenas_udea
20|Alexander Sofía Ceballos Marín|NIT|876825372|Corporativo|3265290382|alexander.marin20@outlook.com|Calle 88 #16-42|Queja|2026-02-07 14:39:02|Presencial|Queja por demora en la atención|Deseo presentar una queja por el largo tiempo de espera que tuve para ser atendido con mi otro en el campus.|Otro|Campus Medellín - Ciudad Universitaria|2026-03-09 14:39:02|Registrada|fherrera_udea
21|Angélica Fernanda Salazar Castaño|CE|1008098350|Corporativo|3179118343|angelica.castano21@hotmail.com|Diagonal 90 #68-54|Queja|2026-05-11 17:03:59|Correo electrónico|Queja por información contradictoria|Recibí información contradictoria sobre el procedimiento a seguir con mi gato en dos visitas distintas.|Gato|Campus Medellín - Ciudad Universitaria|2026-06-10 17:03:59|Registrada|lrestrepo_udea
22|Mariana Alejandro Gómez Betancourt|PP|1079819014|Otro|3265138416|mariana.betancourt22@gmail.com|N/A|Queja|2026-06-14 15:24:27|Teléfono|Queja por falta de insumos|Presento queja porque no había insumos disponibles para la atención de mi otro el día de la visita.|Otro|Campus Medellín - Edificio de Extensión|2026-07-14 15:24:27|Solucionada|apineda_udea
23|Diego Camila Ceballos Quintero|CE|1086906179|Corporativo|3064180196|diego.quintero23@outlook.com|Carrera 36 #8-53|Queja|2026-01-19 08:01:57|Teléfono|Queja por incumplimiento de cita|La cita programada para mi otro no fue atendida en el horario acordado sin previa notificación.|Otro|Campus Medellín - Sede de Posgrado|2026-02-18 08:01:57|Registrada|jgomez_udea
24|Daniela Fernanda Quintero Cano|NIT|883903457|Otro|3144855952|daniela.cano24@gmail.com|Calle 105 #15-50|Queja|2026-04-10 08:00:16|Otro|Queja por información contradictoria|Recibí información contradictoria sobre el procedimiento a seguir con mi otro en dos visitas distintas.|Otro|Campus Medellín - Antigua Escuela de Derecho|2026-05-10 08:00:16|En proceso|rquintero_udea
25|Laura Andrés Bedoya Cadavid|CE|1068622611|Celular|3089300760|laura.cadavid25@outlook.com|Carrera 29 #63-98|Queja|2026-02-28 16:33:13|Presencial|Queja por falta de insumos|Presento queja porque no había insumos disponibles para la atención de mi gato el día de la visita.|Gato|Campus Medellín - Sede de Posgrado|2026-03-30 16:33:13|Solucionada|lrestrepo_udea
26|Camila Antonia Muñoz Mejía|PP|1046000402|Celular|3197059549|camila.mejia26@gmail.com|Calle 43 #30-66|Queja|2026-09-04 14:09:53|Correo electrónico|Queja por falta de insumos|Presento queja porque no había insumos disponibles para la atención de mi gato el día de la visita.|Gato|Campus Medellín - Edificio San Ignacio|2026-10-04 14:09:53|En proceso|fherrera_udea
27|Valentina Ospina Osorio|TI|1010371115|Celular|3126481995|valentina.osorio27@gmail.com|Carrera 72 #51-58|Queja|2026-02-06 07:15:28|Página web|Queja por incumplimiento de cita|La cita programada para mi gato no fue atendida en el horario acordado sin previa notificación.|Gato|Campus Medellín - Casas Patrimoniales|2026-03-08 07:15:28|Registrada|fherrera_udea
28|Fernando Osorio Sánchez|PP|1065943256|Fijo|3034309153|fernando.sanchez28@gmail.com|Diagonal 53 #40-92|Queja|2026-03-19 08:59:49|Página web|Queja por falta de insumos|Presento queja porque no había insumos disponibles para la atención de mi gato el día de la visita.|Gato|Campus Medellín - Antigua Escuela de Derecho|2026-04-18 08:59:49|Registrada|admin_udea
29|Julián Andrés Ceballos Quintero|CE|1097809535|Corporativo|3114576007|julian.quintero29@outlook.com|Transversal 120 #83-99|Queja|2026-08-06 09:28:37|Presencial|Queja por demora en la atención|Deseo presentar una queja por el largo tiempo de espera que tuve para ser atendido con mi perro en el campus.|Perro|Campus Medellín - Antigua Escuela de Derecho|2026-09-05 09:28:37|Solucionada|rquintero_udea
30|Mariana Muñoz Gutiérrez|CC|1022636047|Fijo|3118550640|mariana.gutierrez30@correo.com|Avenida 15 #49-77|Queja|2026-06-10 17:40:37|Correo electrónico|Queja por información contradictoria|Recibí información contradictoria sobre el procedimiento a seguir con mi gato en dos visitas distintas.|Gato|Campus Medellín - Sede de Posgrado|2026-07-10 17:40:37|Solucionada|fherrera_udea
31|Mauricio José Gutiérrez Gutiérrez|NIT|898906874|Fijo|3219471685|mauricio.gutierrez31@gmail.com|Diagonal 108 #60-32|Queja|2026-04-19 13:01:07|Teléfono|Queja por demora en la atención|Deseo presentar una queja por el largo tiempo de espera que tuve para ser atendido con mi perro en el campus.|Perro|Campus en el Área de la salud|2026-05-19 13:01:07|Solucionada|rquintero_udea
32|Carolina Antonia Restrepo Ospina|CC|1057607338|Celular|3226542156|carolina.ospina32@gmail.com|N/A|Queja|2026-05-13 10:48:44|Correo electrónico|Queja por incumplimiento de cita|La cita programada para mi gato no fue atendida en el horario acordado sin previa notificación.|Gato|Campus Medellín - Ciudad Universitaria|2026-06-12 10:48:44|Solucionada|jbedoya_udea
33|Luisa Esteban Giraldo Giraldo|TI|1036701953|Corporativo|3276753178|luisa.giraldo33@hotmail.com|Carrera 80 #90-9|Queja|2026-05-15 09:37:52|Teléfono|Queja por demora en la atención|Deseo presentar una queja por el largo tiempo de espera que tuve para ser atendido con mi gato en el campus.|Gato|Campus Medellín - Ciudadela Robledo|2026-06-14 09:37:52|En proceso|mtorres_udea
34|Juliana Torres Jaramillo|CC|1048494183|Corporativo|3222985794|juliana.jaramillo34@outlook.com|Avenida 21 #84-73|Queja|2026-07-27 14:13:58|Correo electrónico|Queja por información contradictoria|Recibí información contradictoria sobre el procedimiento a seguir con mi perro en dos visitas distintas.|Perro|Campus Medellín - Edificio Antioquia|2026-08-26 14:13:58|Solucionada|apineda_udea
35|Melissa Esteban Arboleda Torres|CE|1064815070|Otro|3144747170|melissa.torres35@gmail.com|Avenida 66 #33-66|Queja|2026-09-22 12:23:10|Otro|Queja por incumplimiento de cita|La cita programada para mi otro no fue atendida en el horario acordado sin previa notificación.|Otro|Campus Medellín - Casas Patrimoniales|2026-10-22 12:23:10|En proceso|dgiraldo_udea
36|Ricardo Alejandro Mejía Castaño|PP|1042594062|Corporativo|3141691622|ricardo.castano36@hotmail.com|Calle 64 #31-29|Queja|2026-06-03 13:11:33|Redes sociales|Queja por información contradictoria|Recibí información contradictoria sobre el procedimiento a seguir con mi otro en dos visitas distintas.|Otro|Campus Medellín - Ciudadela Robledo|2026-07-03 13:11:33|Registrada|apineda_udea
37|Emmanuel Valentina Villa Ríos|PP|1047015318|Corporativo|3181941217|emmanuel.rios37@udea.edu.co|Carrera 100 #85-69|Queja|2026-03-03 15:40:19|Teléfono|Queja por trato del personal|Quiero manifestar mi inconformidad con el trato recibido por parte de uno de los funcionarios durante la atención de mi otro.|Otro|Campus Medellín - Edificio Antioquia|2026-04-02 15:40:19|Solucionada|scardenas_udea
38|Luisa Valentina Aristizábal Sánchez|CC|1026809546|Otro|3073209254|luisa.sanchez38@gmail.com|Avenida 64 #9-74|Queja|2026-02-07 14:25:04|Presencial|Queja por trato del personal|Quiero manifestar mi inconformidad con el trato recibido por parte de uno de los funcionarios durante la atención de mi perro.|Perro|Campus Medellín - Antigua Escuela de Derecho|2026-03-09 14:25:04|Registrada|dgiraldo_udea
39|Vanessa José Salazar López|CE|1003563663|Fijo|3112655095|vanessa.lopez39@udea.edu.co|Calle 79 #50-95|Queja|2026-04-06 14:06:45|Teléfono|Queja por demora en la atención|Deseo presentar una queja por el largo tiempo de espera que tuve para ser atendido con mi perro en el campus.|Perro|Campus Medellín - Casas Patrimoniales|2026-05-06 14:06:45|Registrada|mvelez_udea
40|Emmanuel Fernanda Gutiérrez Cadavid|CC|1054081530|Celular|3046361219|emmanuel.cadavid40@outlook.com|N/A|Queja|2026-08-01 12:27:45|Página web|Queja por trato del personal|Quiero manifestar mi inconformidad con el trato recibido por parte de uno de los funcionarios durante la atención de mi otro.|Otro|Campus Medellín - Antigua Escuela de Derecho|2026-08-31 12:27:45|Registrada|mtorres_udea
41|Mariana Andrés Peña Higuita|NIT|832770730|Celular|3173714001|mariana.higuita41@gmail.com|Transversal 25 #27-41|Queja|2026-01-11 11:06:25|Teléfono|Queja por trato del personal|Quiero manifestar mi inconformidad con el trato recibido por parte de uno de los funcionarios durante la atención de mi perro.|Perro|Campus Medellín - Ciudad Universitaria|2026-02-10 11:06:25|Solucionada|admin_udea
42|Isabella Camila Vargas Cárdenas|NIT|817109992|Celular|3158353202|isabella.cardenas42@udea.edu.co|Carrera 100 #42-40|Queja|2026-05-20 14:52:52|Presencial|Queja por información contradictoria|Recibí información contradictoria sobre el procedimiento a seguir con mi perro en dos visitas distintas.|Perro|Campus Medellín - Ciudad Universitaria|2026-06-19 14:52:52|En proceso|scardenas_udea
43|Cristian Antonia Palacio Cárdenas|PP|1034312410|Otro|3232908389|cristian.cardenas43@gmail.com|Diagonal 39 #34-32|Queja|2026-03-27 09:34:35|Redes sociales|Queja por falta de insumos|Presento queja porque no había insumos disponibles para la atención de mi perro el día de la visita.|Perro|Campus Medellín - Ciudad Universitaria|2026-04-26 09:34:35|Solucionada|scardenas_udea
44|Óscar Alejandro Osorio Ocampo|PP|1082043558|Otro|3053234437|oscar.ocampo44@outlook.com|Transversal 94 #67-17|Queja|2026-06-18 14:32:42|Teléfono|Queja por falta de insumos|Presento queja porque no había insumos disponibles para la atención de mi gato el día de la visita.|Gato|Campus Medellín - Edificio San Ignacio|2026-07-18 14:32:42|Solucionada|dgiraldo_udea
45|Felipe Andrés Bedoya Rodríguez|CE|1013129316|Celular|3014189959|felipe.rodriguez45@correo.com|Avenida 78 #62-30|Queja|2026-06-03 16:37:51|Correo electrónico|Queja por falta de insumos|Presento queja porque no había insumos disponibles para la atención de mi gato el día de la visita.|Gato|Campus Medellín - Edificio San Ignacio|2026-07-03 16:37:51|Registrada|apineda_udea
46|Natalia David Duque Gutiérrez|PP|1087985355|Celular|3228193282|natalia.gutierrez46@hotmail.com|Carrera 23 #6-76|Queja|2026-09-05 11:43:54|Otro|Queja por demora en la atención|Deseo presentar una queja por el largo tiempo de espera que tuve para ser atendido con mi perro en el campus.|Perro|Campus en el Área de la salud|2026-10-05 11:43:54|Registrada|admin_udea
