id|nombre_completo|tipo_documento|numero_documento|tipo_telefono|telefono_contacto|correo_electronico|direccion|tipo_solicitud|fecha_radicacion|canal_recepcion|asunto_titulo|descripcion_detallada|tipo_mascota|campus_relacionado|fecha_maxima_respuesta|estado_peticion|usuario_registro
1|Daniela Fernanda Cadavid Zuluaga|PP|1084989512|Celular|3222771509|daniela.zuluaga1@outlook.com|Transversal 102 #26-23|Reclamo|2026-08-18 13:27:12|Correo electrónico|Reclamo por pérdida de historia clínica|La historia clínica de mi otro no fue encontrada en el sistema al momento de mi última visita.|Otro|Campus Medellín - Edificio de Extensión|2026-09-17 13:27:12|En proceso|admin_udea
2|Diego Alejandro Escobar Serna|NIT|880404751|Celular|3269901662|diego.serna2@correo.com|Carrera 57 #29-61|Reclamo|2026-06-02 07:31:02|Otro|Reclamo por cobro indebido|Reclamo por un cobro que considero indebido en la atención veterinaria prestada a mi otro.|Otro|Campus Medellín - Sede de Posgrado|2026-07-02 07:31:02|En proceso|scardenas_udea
3|Rodrigo Alejandro Ospina Mejía|TI|1068606433|Otro|3025664516|rodrigo.mejia3@hotmail.com|Diagonal 27 #98-10|Reclamo|2026-07-14 07:32:38|Página web|Reclamo por cancelación de cita|Mi cita para mi gato fue cancelada sin previo aviso y no fui reprogramado, por lo cual presento este reclamo.|Gato|Campus Medellín - Sede de Posgrado|2026-08-13 07:32:38|En proceso|jgomez_udea
4|Valeria Sofía Ramírez Betancourt|CC|1035244494|Celular|3281011909|valeria.betancourt4@correo.com|Avenida 52 #99-65|Reclamo|2026-09-23 15:08:51|Redes sociales|Reclamo por demora en entrega de resultados|Los resultados de los exámenes practicados a mi perro tardaron más de lo informado inicialmente.|Perro|Campus Medellín - Sede de Posgrado|2026-10-23 15:08:51|Solucionada|mvelez_udea
5|Fernando José Ospina Ceballos|PP|1099978387|Celular|3229110151|fernando.ceballos5@outlook.com|Transversal 88 #3-94|Reclamo|2026-08-21 09:46:15|Correo electrónico|Reclamo por pérdida de historia clínica|La historia clínica de mi otro no fue encontrada en el sistema al momento de mi última visita.|Otro|Campus Medellín - Sede de Posgrado|2026-09-20 09:46:15|Registrada|scardenas_udea
6|Andrés Esteban Torres Cano|CC|1099465455|Celular|3073531105|andres.cano6@outlook.com|Transversal 110 #65-41|Reclamo|2026-03-16 08:57:28|Redes sociales|Reclamo por cancelación de cita|Mi cita para mi perro fue cancelada sin previo aviso y no fui reprogramado, por lo cual presento este reclamo.|Perro|Campus Medellín - Edificio San Ignacio|2026-04-15 08:57:28|Solucionada|scardenas_udea
7|Melissa Valentina Aristizábal Aristizábal|PP|1081889497|Corporativo|3297538944|melissa.aristizabal7@outlook.com|Diagonal 82 #51-91|Reclamo|2026-02-25 15:42:49|Teléfono|Reclamo por diagnóstico erróneo|Considero que el diagnóstico entregado inicialmente no correspondía a la condición real de mi gato.|Gato|Campus Medellín - Edificio Antioquia|2026-03-27 15:42:49|En proceso|mvelez_udea
8|Melissa José Marín Torres|PP|1027023252|Otro|3166946818|melissa.torres8@correo.com|Diagonal 41 #2-3|Reclamo|2026-09-21 14:19:22|Presencial|Reclamo por cancelación de cita|Mi cita para mi perro fue cancelada sin previo aviso y no fui reprogramado, por lo cual presento este reclamo.|Perro|Campus en el Área de la salud|2026-10-21 14:19:22|Solucionada|jgomez_udea
9|Natalia Sofía Serna Uribe|NIT|824121910|Fijo|3106730469|natalia.uribe9@gmail.com|Calle 8 #48-35|Reclamo|2026-07-09 10:08:58|Teléfono|Reclamo por demora en entrega de resultados|Los resultados de los exámenes practicados a mi gato tardaron más de lo informado inicialmente.|Gato|Campus Medellín - Ciudad Universitaria|2026-08-08 10:08:58|En proceso|fherrera_udea
10|Álvaro José Zuluaga Ortiz|NIT|833310006|Celular|3202571422|alvaro.ortiz10@hotmail.com|Avenida 40 #47-34|Reclamo|2026-01-26 12:48:49|Página web|Reclamo por demora en entrega de resultados|Los resultados de los exámenes practicados a mi otro tardaron más de lo informado inicialmente.|Otro|Campus Medellín - Sede de Posgrado|2026-02-25 12:48:49|Registrada|admin_udea
11|Sofía David Herrera Gómez|CE|1079142220|Corporativo|3274328150|sofia.gomez11@hotmail.com|Transversal 9 #81-22|Reclamo|2026-05-23 17:08:36|Redes sociales|Reclamo por cobro indebido|Reclamo por un cobro que considero indebido en la atención veterinaria prestada a mi otro.|Otro|Campus Medellín - Edificio de Extensión|2026-06-22 17:08:36|Registrada|fherrera_udea
12|Isabella Camila Correa Giraldo|CC|1062667295|Celular|3175327433|isabella.giraldo12@gmail.com|Transversal 26 #60-63|Reclamo|2026-03-26 15:54:12|Redes sociales|Reclamo por cancelación de cita|Mi cita para mi otro fue cancelada sin previo aviso y no fui reprogramado, por lo cual presento este reclamo.|Otro|Campus Medellín - Antigua Escuela de Derecho|2026-04-25 15:54:12|Solucionada|mvelez_udea
13|Óscar Antonia Palacio Franco|CE|1000937965|Corporativo|3004060416|oscar.franco13@hotmail.com|N/A|Reclamo|2026-09-19 12:28:24|Redes sociales|Reclamo por cancelación de cita|Mi cita para mi otro fue cancelada sin previo aviso y no fui reprogramado, por lo cual presento este reclamo.|Otro|Campus Medellín - Sede de Posgrado|2026-10-19 12:28:24|En proceso|scardenas_udea
14|Valentina Valentina Betancourt Mejía|NIT|836710026|Corporativo|3025981021|valentina.mejia14@gmail.com|Avenida 12 #4-17|Reclamo|2026-03-09 16:22:20|Correo electrónico|Reclamo por cancelación de cita|Mi cita para mi gato fue cancelada sin previo aviso y no fui reprogramado, por lo cual presento este reclamo.|Gato|Campus Medellín - Edificio San Ignacio|2026-04-08 16:22:20|En proceso|jbedoya_udea
15|Vanessa Andrés Villa Correa|CE|1007970395|Fijo|3027678712|vanessa.correa15@correo.com|Diagonal 15 #48-35|Reclamo|2026-09-26 15:58:28|Teléfono|Reclamo por diagnóstico erróneo|Considero que el diagnóstico entregado inicialmente no correspondía a la condición real de mi gato.|Gato|Campus Medellín - Sede de Posgrado|2026-10-26 15:58:28|En proceso|lrestrepo_udea
16|Cristian Andrés Peña Correa|PP|1030061717|Celular|3057524683|cristian.correa16@udea.edu.co|Transversal 118 #23-96|Reclamo|2026-04-10 09:10:17|Teléfono|Reclamo por pérdida de historia clínica|La historia clínica de mi otro no fue encontrada en el sistema al momento de mi última visita.|Otro|Campus Medellín - Edificio de Extensión|2026-05-10 09:10:17|En proceso|lrestrepo_udea
17|Melissa Valentina Giraldo Cano|NIT|820825961|Otro|3147526955|melissa.cano17@udea.edu.co|Avenida 26 #84-54|Reclamo|2026-06-01 14:42:15|Correo electrónico|Reclamo por cancelación de cita|Mi cita para mi gato fue cancelada sin previo aviso y no fui reprogramado, por lo cual presento este reclamo.|Gato|Campus Medellín - Edificio de Extensión|2026-07-01 14:42:15|Registrada|rquintero_udea
18|Mauricio Antonia Quintero Londoño|CC|1078549600|Fijo|3106590634|mauricio.londono18@udea.edu.co|Carrera 103 #82-73|Reclamo|2026-04-14 07:02:57|Redes sociales|Reclamo por cobro indebido|Reclamo por un cobro que considero indebido en la atención veterinaria prestada a mi perro.|Perro|Campus en el Área de la salud|2026-05-14 07:02:57|Registrada|admin_udea
19|Esteban Esteban Palacio Londoño|CE|1056568131|Corporativo|3182128734|esteban.londono19@udea.edu.co|Transversal 120 #12-99|Reclamo|2026-06-28 10:16:23|Página web|Reclamo por demora en entrega de resultados|Los resultados de los exámenes practicados a mi otro tardaron más de lo informado inicialmente.|Otro|Campus Medellín - Sede de Posgrado|2026-07-28 10:16:23|En proceso|fherrera_udea
20|Manuela Andrés Gutiérrez Villa|CE|1086847298|Fijo|3242945137|manuela.villa20@hotmail.com|Avenida 97 #6-77|Reclamo|2026-01-17 07:18:35|Presencial|Reclamo por diagnóstico erróneo|Considero que el diagnóstico entregado inicialmente no correspondía a la condición real de mi perro.|Perro|Campus Medellín - Antigua Escuela de Derecho|2026-02-16 07:18:35|Solucionada|admin_udea
21|Luisa Fernanda Duque Duque|NIT|811126347|Celular|3061502453|luisa.duque21@outlook.com|Diagonal 29 #9-69|Reclamo|2026-01-27 10:33:25|Teléfono|Reclamo por diagnóstico erróneo|Considero que el diagnóstico entregado inicialmente no correspondía a la condición real de mi gato.|Gato|Campus Medellín - Ciudadela Robledo|2026-02-26 10:33:25|En proceso|cparra_udea
22|Isabella Camila Herrera Quintero|TI|1033668845|Corporativo|3196072807|isabella.quintero22@correo.com|Avenida 60 #80-27|Reclamo|2026-07-11 12:51:33|Redes sociales|Reclamo por pérdida de historia clínica|La historia clínica de mi otro no fue encontrada en el sistema al momento de mi última visita.|Otro|Campus Medellín - Antigua Escuela de Derecho|2026-08-10 12:51:33|Registrada|dgiraldo_udea
23|Gabriela Sofía Aristizábal Torres|NIT|894460833|Corporativo|3082415975|gabriela.torres23@outlook.com|Carrera 111 #92-74|Reclamo|2026-05-22 09:04:16|Redes sociales|Reclamo por cancelación de cita|Mi cita para mi perro fue cancelada sin previo aviso y no fui reprogramado, por lo cual presento este reclamo.|Perro|Campus Medellín - Casas Patrimoniales|2026-06-21 09:04:16|En proceso|scardenas_udea
24|Manuela David Uribe Álvarez|PP|1087305594|Celular|3186409696|manuela.alvarez24@outlook.com|Diagonal 17 #43-25|Reclamo|2026-03-21 15:35:20|Correo electrónico|Reclamo por demora en entrega de resultados|Los resultados de los exámenes practicados a mi gato tardaron más de lo informado inicialmente.|Gato|Campus Medellín - Edificio Antioquia|2026-04-20 15:35:20|Solucionada|mtorres_udea
25|Iván Sofía Mejía Osorio|TI|1050905609|Corporativo|3163491648|ivan.osorio25@gmail.com|Transversal 103 #25-81|Reclamo|2026-09-07 14:32:52|Correo electrónico|Reclamo por diagnóstico erróneo|Considero que el diagnóstico entregado inicialmente no correspondía a la condición real de mi otro.|Otro|Campus Medellín - Sede de Posgrado|2026-10-07 14:32:52|En proceso|mtorres_udea
26|Hernán Alejandro Torres Higuita|PP|1091735245|Corporativo|3078244475|hernan.higuita26@gmail.com|Calle 9 #30-12|Reclamo|2026-04-09 11:52:10|Página web|Reclamo por cancelación de cita|Mi cita para mi gato fue cancelada sin previo aviso y no fui reprogramado, por lo cual presento este reclamo.|Gato|Campus Medellín - Edificio de Extensión|2026-05-09 11:52:10|Registrada|lrestrepo_udea
27|Esteban David Higuita Gómez|CC|1064706450|Otro|3199256680|esteban.gomez27@hotmail.com|Diagonal 51 #27-27|Reclamo|2026-05-03 09:39:30|Redes sociales|Reclamo por cobro indebido|Reclamo por un cobro que considero indebido en la atención veterinaria prestada a mi gato.|Gato|Campus Medellín - Edificio de Extensión|2026-06-02 09:39:30|Registrada|rquintero_udea
28|Esteban Sofía Ceballos Rodríguez|CC|1022878176|Celular|3138688708|esteban.rodriguez28@gmail.com|Transversal 83 #86-98|Reclamo|2026-01-13 07:35:27|Correo electrónico|Reclamo por cobro indebido|Reclamo por un cobro que considero indebido en la atención veterinaria prestada a mi gato.|Gato|Campus Medellín - Edificio Antioquia|2026-02-12 07:35:27|En proceso|dgiraldo_udea
29|Mariana David Peña Cano|NIT|817066996|Corporativo|3222142717|mariana.cano29@correo.com|Diagonal 72 #23-11|Reclamo|2026-02-13 16:21:43|Página web|Reclamo por demora en entrega de resultados|Los resultados de los exámenes practicados a mi gato tardaron más de lo informado inicialmente.|Gato|Campus Medellín - Edificio de Extensión|2026-03-15 16:21:43|Solucionada|scardenas_udea
30|Camila Alejandro Zuluaga Aristizábal|NIT|801155619|Corporativo|3134815423|camila.aristizabal30@gmail.com|Carrera 48 #49-8|Reclamo|2026-02-06 13:56:17|Otro|Reclamo por cancelación de cita|Mi cita para mi gato fue cancelada sin previo aviso y no fui reprogramado, por lo cual presento este reclamo.|Gato|Campus Medellín - Edificio Antioquia|2026-03-08 13:56:17|Registrada|cparra_udea
31|Jorge Valentina Gómez Salazar|PP|1046853663|Celular|3258547106|jorge.salazar31@correo.com|Transversal 24 #39-16|Reclamo|2026-04-20 13:34:30|Correo electrónico|Reclamo por demora en entrega de resultados|Los resultados de los exámenes practicados a mi otro tardaron más de lo informado inicialmente.|Otro|Campus Medellín - Edificio Antioquia|2026-05-20 13:34:30|Solucionada|rquintero_udea
32|Carlos Esteban Franco Cadavid|CC|1019693744|Fijo|3141994221|carlos.cadavid32@correo.com|Carrera 53 #76-71|Reclamo|2026-04-19 08:41:19|Presencial|Reclamo por cobro indebido|Reclamo por un cobro que considero indebido en la atención veterinaria prestada a mi gato.|Gato|Campus Medellín - Ciudadela Robledo|2026-05-19 08:41:19|Solucionada|dgiraldo_udea
33|Esteban Valentina Restrepo Builes|NIT|830572528|Otro|3144073776|esteban.builes33@hotmail.com|Avenida 35 #25-79|Reclamo|2026-07-05 15:30:31|Correo electrónico|Reclamo por cancelación de cita|Mi cita para mi otro fue cancelada sin previo aviso y no fui reprogramado, por lo cual presento este reclamo.|Otro|Campus Medellín - Edificio de Extensión|2026-08-04 15:30:31|Solucionada|admin_udea
34|Melissa Valentina Palacio Builes|NIT|879793904|Fijo|3227300334|melissa.builes34@hotmail.com|Diagonal 45 #89-82|Reclamo|2026-01-21 16:12:31|Teléfono|Reclamo por demora en entrega de resultados|Los resultados de los exámenes practicados a mi perro tardaron más de lo informado inicialmente.|Perro|Campus Medellín - Ciudadela Robledo|2026-02-20 16:12:31|En proceso|fherrera_udea
35|Camila Valentina Álvarez Serna|CC|1005782146|Otro|3255276443|camila.serna35@udea.edu.co|Carrera 64 #84-59|Reclamo|2026-05-09 13:09:44|Correo electrónico|Reclamo por cobro indebido|Reclamo por un cobro que considero indebido en la atención veterinaria prestada a mi otro.|Otro|Campus Medellín - Ciudad Universitaria|2026-06-08 13:09:44|Registrada|dgiraldo_udea
36|María Alejandro Herrera Bedoya|CE|1034254901|Otro|3131102566|maria.bedoya36@hotmail.com|Avenida 114 #72-86|Reclamo|2026-09-25 13:18:38|Correo electrónico|Reclamo por cobro indebido|Reclamo por un cobro que considero indebido en la atención veterinaria prestada a mi gato.|Gato|Campus Medellín - Edificio San Ignacio|2026-10-25 13:18:38|En proceso|lrestrepo_udea
37|Julián Esteban Villa Montoya|CE|1061606913|Celular|3274909750|julian.montoya37@udea.edu.co|Carrera 45 #17-57|Reclamo|2026-08-04 07:11:52|Página web|Reclamo por diagnóstico erróneo|Considero que el diagnóstico entregado inicialmente no correspondía a la condición real de mi perro.|Perro|Campus Medellín - Casas Patrimoniales|2026-09-03 07:11:52|Registrada|scardenas_udea
38|Estefanía Esteban Jaramillo Herrera|PP|1078656669|Corporativo|3175507458|estefania.herrera38@udea.edu.co|Transversal 112 #47-23|Reclamo|2026-07-20 17:53:24|Otro|Reclamo por cancelación de cita|Mi cita para mi perro fue cancelada sin previo aviso y no fui reprogramado, por lo cual presento este reclamo.|Perro|Campus Medellín - Casas Patrimoniales|2026-08-19 17:53:24|En proceso|rquintero_udea
39|Ximena Alejandro Serna Escobar|CE|1009979843|Corporativo|3205288807|ximena.escobar39@outlook.com|Transversal 88 #37-34|Reclamo|2026-03-10 16:50:48|Presencial|Reclamo por demora en entrega de resultados|Los resultados de los exámenes practicados a mi gato tardaron más de lo informado inicialmente.|Gato|Campus en el Área de la salud|2026-04-09 16:50:48|En proceso|apineda_udea
40|Juan Alejandro Marín Osorio|CE|1088022426|Fijo|3156840952|juan.osorio40@gmail.com|Transversal 42 #33-6|Reclamo|2026-05-16 07:35:14|Teléfono|Reclamo por diagnóstico erróneo|Considero que el diagnóstico entregado inicialmente no correspondía a la condición real de mi perro.|Perro|Campus Medellín - Edificio San Ignacio|2026-06-15 07:35:14|Solucionada|jbedoya_udea
41|Vanessa Sofía Vargas Ríos|NIT|858237405|Celular|3008394826|vanessa.rios41@udea.edu.co|Transversal 95 #72-84|Reclamo|2026-05-26 13:17:25|Página web|Reclamo por demora en entrega de resultados|Los resultados de los exámenes practicados a mi otro tardaron más de lo informado inicialmente.|Otro|Campus Medellín - Ciudad Universitaria|2026-06-25 13:17:25|En proceso|jbedoya_udea
42|Paula Valentina Uribe Ospina|NIT|822784953|Corporativo|3007886786|paula.ospina42@correo.com|Avenida 95 #58-72|Reclamo|2026-01-07 10:51:05|Otro|Reclamo por cobro indebido|Reclamo por un cobro que considero indebido en la atención veterinaria prestada a mi perro.|Perro|Campus en el Área de la salud|2026-02-06 10:51:05|Solucionada|dgiraldo_udea
43|Emmanuel Esteban Quintero Ocampo|NIT|873968700|Otro|3133894101|emmanuel.ocampo43@udea.edu.co|Transversal 110 #27-3|Reclamo|2026-05-26 11:41:33|Teléfono|Reclamo por demora en entrega de resultados|Los resultados de los exámenes practicados a mi otro tardaron más de lo informado inicialmente.|Otro|Campus Medellín - Ciudadela Robledo|2026-06-25 11:41:33|En proceso|mtorres_udea
44|Estefanía Andrés Bedoya Marín|TI|1066317367|Fijo|3107889005|estefania.marin44@hotmail.com|Avenida 103 #40-77|Reclamo|2026-03-27 10:06:34|Correo electrónico|Reclamo por cobro indebido|Reclamo por un cobro que considero indebido en la atención veterinaria prestada a mi gato.|Gato|Campus Medellín - Sede de Posgrado|2026-04-26 10:06:34|En proceso|apineda_udea
45|Catalina Builes Salazar|TI|1060746449|Celular|3242017035|catalina.salazar45@outlook.com|Avenida 12 #70-58|Reclamo|2026-07-19 15:26:20|Correo electrónico|Reclamo por diagnóstico erróneo|Considero que el diagnóstico entregado inicialmente no correspondía a la condición real de mi perro.|Perro|Campus Medellín - Edificio de Extensión|2026-08-18 15:26:20|En proceso|rquintero_udea
46|Manuela Camila Montoya Londoño|CC|1073838148|Corporativo|3156104101|manuela.londono46@outlook.com|Avenida 46 #68-76|Reclamo|2026-02-01 15:50:52|Correo electrónico|Reclamo por pérdida de historia clínica|La historia clínica de mi perro no fue encontrada en el sistema al momento de mi última visita.|Perro|Campus Medellín - Antigua Escuela de Derecho|2026-03-03 15:50:52|Registrada|cparra_udea
47|Sofía Esteban Cadavid Rodríguez|CE|1082386449|Corporativo|3024525229|sofia.rodriguez47@correo.com|Calle 88 #32-16|Reclamo|2026-06-25 14:56:32|Presencial|Reclamo por diagnóstico erróneo|Considero que el diagnóstico entregado inicialmente no correspondía a la condición real de mi otro.|Otro|Campus Medellín - Edificio Antioquia|2026-07-25 14:56:32|Registrada|admin_udea
48|Rodrigo Antonia Zuluaga Palacio|CE|1080939849|Otro|3209314977|rodrigo.palacio48@correo.com|Transversal 21 #56-63|Reclamo|2026-08-24 12:41:28|Otro|Reclamo por cobro indebido|Reclamo por un cobro que considero indebido en la atención veterinaria prestada a mi gato.|Gato|Campus en el Área de la salud|2026-09-23 12:41:28|Solucionada|apineda_udea
49|Juan José Osorio Bedoya|CC|1099279568|Corporativo|3264948517|juan.bedoya49@udea.edu.co|Carrera 36 #65-24|Reclamo|2026-06-04 11:45:13|Presencial|Reclamo por cobro indebido|Reclamo por un cobro que considero indebido en la atención veterinaria prestada a mi otro.|Otro|Campus Medellín - Edificio Antioquia|2026-07-04 11:45:13|Registrada|admin_udea
50|Miguel Escobar Pérez|CE|1012264574|Celular|3103900519|miguel.perez50@udea.edu.co|Carrera 82 #26-15|Reclamo|2026-03-28 13:03:13|Otro|Reclamo por cancelación de cita|Mi cita para mi gato fue cancelada sin previo aviso y no fui reprogramado, por lo cual presento este reclamo.|Gato|Campus Medellín - Antigua Escuela de Derecho|2026-04-27 13:03:13|Solucionada|mvelez_udea
51|Juliana Esteban Álvarez Franco|PP|1037039065|Celular|3167303585|juliana.franco51@correo.com|Calle 113 #92-44|Reclamo|2026-02-08 13:50:49|Otro|Reclamo por cancelación de cita|Mi cita para mi perro fue cancelada sin previo aviso y no fui reprogramado, por lo cual presento este reclamo.|Perro|Campus Medellín - Edificio de Extensión|2026-03-10 13:50:49|Solucionada|dgiraldo_udea
52|Mariana Sofía Builes Cadavid|CC|1091529360|Otro|3029578426|mariana.cadavid52@correo.com|Transversal 55 #49-14|Reclamo|2026-06-03 07:29:02|Página web|Reclamo por cobro indebido|Reclamo por un cobro que considero indebido en la atención veterinaria prestada a mi otro.|Otro|Campus Medellín - Sede de Posgrado|2026-07-03 07:29:02|Registrada|apineda_udea
53|Jorge Andrés Uribe Builes|CE|1057916946|Corporativo|3185563294|jorge.builes53@gmail.com|Calle 31 #53-48|Reclamo|2026-05-27 17:01:12|Página web|Reclamo por diagnóstico erróneo|Considero que el diagnóstico entregado inicialmente no correspondía a la condición real de mi otro.|Otro|Campus Medellín - Antigua Escuela de Derecho|2026-06-26 17:01:12|Registrada|lrestrepo_udea
54|Carlos Betancourt Castaño|CE|1006180238|Celular|3245980148|carlos.castano54@outlook.com|Calle 14 #67-39|Reclamo|2026-04-12 11:18:47|Otro|Reclamo por cancelación de cita|Mi cita para mi gato fue cancelada sin previo aviso y no fui reprogramado, por lo cual presento este reclamo.|Gato|Campus Medellín - Antigua Escuela de Derecho|2026-05-12 11:18:47|Registrada|apineda_udea
55|Alejandra Sofía Jaramillo Pérez|CE|1066914870|Corporativo|3172802898|alejandra.perez55@udea.edu.co|Diagonal 21 #96-33|Reclamo|2026-05-26 08:15:38|Redes sociales|Reclamo por demora en entrega de resultados|Los resultados de los exámenes practicados a mi gato tardaron más de lo informado inicialmente.|Gato|Campus Medellín - Ciudadela Robledo|2026-06-25 08:15:38|En proceso|fherrera_udea
56|Fernando Sofía Arboleda Zuluaga|PP|1061075204|Fijo|3116070717|fernando.zuluaga56@outlook.com|Calle 69 #9-97|Reclamo|2026-01-23 11:30:21|Presencial|Reclamo por diagnóstico erróneo|Considero que el diagnóstico entregado inicialmente no correspondía a la condición real de mi perro.|Perro|Campus Medellín - Edificio San Ignacio|2026-02-22 11:30:21|Registrada|jbedoya_udea
57|Emmanuel Alejandro Betancourt Castaño|CE|1003406465|Fijo|3143474050|emmanuel.castano57@outlook.com|Carrera 86 #85-40|Reclamo|2026-03-02 12:44:11|Teléfono|Reclamo por cancelación de cita|Mi cita para mi otro fue cancelada sin previo aviso y no fui reprogramado, por lo cual presento este reclamo.|Otro|Campus en el Área de la salud|2026-04-01 12:44:11|Registrada|cparra_udea
58|Álvaro Antonia Vargas Higuita|CE|1054098612|Celular|3148272834|alvaro.higuita58@gmail.com|Calle 82 #85-67|Reclamo|2026-04-05 08:40:44|Teléfono|Reclamo por diagnóstico erróneo|Considero que el diagnóstico entregado inicialmente no correspondía a la condición real de mi otro.|Otro|Campus Medellín - Antigua Escuela de Derecho|2026-05-05 08:40:44|Registrada|admin_udea
