id|nombre_completo|tipo_documento|numero_documento|tipo_telefono|telefono_contacto|correo_electronico|direccion|tipo_solicitud|fecha_radicacion|canal_recepcion|asunto_titulo|descripcion_detallada|tipo_mascota|campus_relacionado|fecha_maxima_respuesta|estado_peticion|usuario_registro
1|Iván Antonia Bedoya Ortiz|CC|1064651808|Fijo|3046451891|ivan.ortiz1@gmail.com|Avenida 6 #21-90|Sugerencia|2026-03-17 16:18:36|Presencial|Sugerencia de sala de espera diferenciada|Propongo habilitar una sala de espera diferenciada para perros y gatos, ya que mi otro se estresó durante la espera.|Otro|Campus Medellín - Casas Patrimoniales|2026-04-16 16:18:36|En proceso|admin_udea
2|Hernán Gutiérrez Castaño|PP|1095237224|Otro|3124079122|hernan.castano2@outlook.com|Transversal 93 #53-27|Sugerencia|2026-07-17 16:57:16|Redes sociales|Sugerencia de jornadas de vacunación|Sugiero realizar jornadas periódicas de vacunación gratuita en los distintos campus.|Gato|Campus Medellín - Sede de Posgrado|2026-08-16 16:57:16|Registrada|apineda_udea
3|Andrés José Builes Ceballos|CC|1021353910|Celular|3248384443|andres.ceballos3@outlook.com|Avenida 30 #83-15|Sugerencia|2026-09-20 17:35:10|Correo electrónico|Sugerencia de canal de agendamiento|Sería útil contar con un canal de agendamiento en línea para las citas del hospital veterinario.|Perro|Campus Medellín - Antigua Escuela de Derecho|2026-10-20 17:35:10|En proceso|fherrera_udea
4|Estefanía José Torres Muñoz|NIT|870316274|Celular|3134716513|estefania.munoz4@correo.com|Transversal 114 #96-60|Sugerencia|2026-03-24 09:20:49|Otro|Sugerencia de sala de espera diferenciada|Propongo habilitar una sala de espera diferenciada para perros y gatos, ya que mi gato se estresó durante la espera.|Gato|Campus Medellín - Sede de Posgrado|2026-04-23 09:20:49|Solucionada|scardenas_udea
5|Fernando Andrés Bedoya Osorio|TI|1005500335|Celular|3075093103|fernando.osorio5@udea.edu.co|Transversal 68 #52-25|Sugerencia|2026-03-22 10:51:54|Correo electrónico|Sugerencia de ampliar horario|Sugiero ampliar el horario de atención los fines de semana para facilitar el acceso al servicio para casos como el de mi gato.|Gato|Campus Medellín - Ciudadela Robledo|2026-04-21 10:51:54|En proceso|scardenas_udea
6|Valentina Andrés Ramírez Gutiérrez|TI|1076302739|Corporativo|3289916102|valentina.gutierrez6@outlook.com|Diagonal 107 #85-78|Sugerencia|2026-01-13 09:17:12|Teléfono|Sugerencia de recordatorios|Propongo enviar recordatorios por correo o mensaje de texto antes de las citas programadas.|Gato|Campus Medellín - Antigua Escuela de Derecho|2026-02-12 09:17:12|Solucionada|dgiraldo_udea
7|Sebastián Alejandro Aristizábal Pérez|NIT|899038654|Corporativo|3282427680|sebastian.perez7@gmail.com|Diagonal 92 #99-13|Sugerencia|2026-02-11 11:36:30|Otro|Sugerencia de recordatorios|Propongo enviar recordatorios por correo o mensaje de texto antes de las citas programadas.|Gato|Campus en el Área de la salud|2026-03-13 11:36:30|En proceso|jgomez_udea
8|Carlos Camila Restrepo Torres|TI|1011922744|Otro|3093181802|carlos.torres8@outlook.com|Calle 105 #5-89|Sugerencia|2026-04-27 07:37:08|Otro|Sugerencia de sala de espera diferenciada|Propongo habilitar una sala de espera diferenciada para perros y gatos, ya que mi otro se estresó durante la espera.|Otro|Campus Medellín - Edificio San Ignacio|2026-05-27 07:37:08|Solucionada|fherrera_udea
9|Vanessa Andrés Villa Builes|NIT|889623262|Celular|3284676298|vanessa.builes9@gmail.com|Carrera 15 #35-59|Sugerencia|2026-06-01 09:36:11|Redes sociales|Sugerencia de ampliar horario|Sugiero ampliar el horario de atención los fines de semana para facilitar el acceso al servicio para casos como el de mi gato.|Gato|Campus Medellín - Edificio de Extensión|2026-07-01 09:36:11|Solucionada|mvelez_udea
10|Laura David Pérez Ocampo|TI|1069530369|Celular|3224148074|laura.ocampo10@outlook.com|Carrera 73 #18-97|Sugerencia|2026-07-05 09:04:24|Otro|Sugerencia de recordatorios|Propongo enviar recordatorios por correo o mensaje de texto antes de las citas programadas.|Gato|Campus Medellín - Edificio San Ignacio|2026-08-04 09:04:24|Registrada|scardenas_udea
11|Paula José Salazar Franco|PP|1091235248|Corporativo|3145852796|paula.franco11@gmail.com|Diagonal 62 #57-88|Sugerencia|2026-07-04 11:25:29|Redes sociales|Sugerencia de jornadas de vacunación|Sugiero realizar jornadas periódicas de vacunación gratuita en los distintos campus.|Otro|Campus en el Área de la salud|2026-08-03 11:25:29|Registrada|scardenas_udea
12|Luisa Camila Serna Ramírez|PP|1001084355|Celular|3277901960|luisa.ramirez12@correo.com|Avenida 97 #80-36|Sugerencia|2026-03-26 12:01:21|Otro|Sugerencia de sala de espera diferenciada|Propongo habilitar una sala de espera diferenciada para perros y gatos, ya que mi perro se estresó durante la espera.|Perro|Campus en el Área de la salud|2026-04-25 12:01:21|En proceso|rquintero_udea
13|Carlos José Bedoya Mejía|TI|1002464619|Corporativo|3261644430|carlos.mejia13@gmail.com|Carrera 103 #71-21|Sugerencia|2026-07-27 11:27:12|Página web|Sugerencia de jornadas de vacunación|Sugiero realizar jornadas periódicas de vacunación gratuita en los distintos campus.|Otro|Campus Medellín - Ciudadela Robledo|2026-08-26 11:27:12|Registrada|apineda_udea
14|Miguel Fernanda Ríos Muñoz|CE|1043223070|Fijo|3292390291|miguel.munoz14@hotmail.com|Transversal 64 #24-67|Sugerencia|2026-05-18 17:06:46|Correo electrónico|Sugerencia de sala de espera diferenciada|Propongo habilitar una sala de espera diferenciada para perros y gatos, ya que mi otro se estresó durante la espera.|Otro|Campus en el Área de la salud|2026-06-17 17:06:46|Solucionada|lrestrepo_udea
15|Sofía Sofía Cano Villa|PP|1068562355|Celular|3168701255|sofia.villa15@outlook.com|Diagonal 2 #1-83|Sugerencia|2026-06-22 07:17:28|Otro|Sugerencia de recordatorios|Propongo enviar recordatorios por correo o mensaje de texto antes de las citas programadas.|Otro|Campus Medellín - Sede de Posgrado|2026-07-22 07:17:28|En proceso|fherrera_udea
16|Fernando Sofía Ríos López|PP|1002608427|Fijo|3063546137|fernando.lopez16@correo.com|Calle 68 #8-60|Sugerencia|2026-02-27 15:29:15|Otro|Sugerencia de sala de espera diferenciada|Propongo habilitar una sala de espera diferenciada para perros y gatos, ya que mi perro se estresó durante la espera.|Perro|Campus Medellín - Edificio Antioquia|2026-03-29 15:29:15|En proceso|lrestrepo_udea
17|Angélica José Arboleda Betancourt|CE|1055902067|Otro|3002741603|angelica.betancourt17@outlook.com|Diagonal 74 #85-7|Sugerencia|2026-09-01 08:33:05|Redes sociales|Sugerencia de canal de agendamiento|Sería útil contar con un canal de agendamiento en línea para las citas del hospital veterinario.|Gato|Campus en el Área de la salud|2026-10-01 08:33:05|Solucionada|rquintero_udea
18|Nicolás Fernanda Cano Herrera|PP|1034704785|Corporativo|3009441571|nicolas.herrera18@outlook.com|Transversal 93 #42-72|Sugerencia|2026-01-26 13:10:54|Otro|Sugerencia de ampliar horario|Sugiero ampliar el horario de atención los fines de semana para facilitar el acceso al servicio para casos como el de mi gato.|Gato|Campus Medellín - Edificio de Extensión|2026-02-25 13:10:54|Registrada|mvelez_udea
19|Juan Alejandro Ceballos Aristizábal|CE|1071175325|Otro|3213362415|juan.aristizabal19@correo.com|Transversal 39 #43-26|Sugerencia|2026-04-04 12:08:00|Otro|Sugerencia de canal de agendamiento|Sería útil contar con un canal de agendamiento en línea para las citas del hospital veterinario.|Otro|Campus en el Área de la salud|2026-05-04 12:08:00|Registrada|fherrera_udea
20|Luisa Esteban Rodríguez Muñoz|NIT|895646413|Fijo|3049316397|luisa.munoz20@outlook.com|Calle 24 #74-97|Sugerencia|2026-01-09 12:38:07|Otro|Sugerencia de sala de espera diferenciada|Propongo habilitar una sala de espera diferenciada para perros y gatos, ya que mi perro se estresó durante la espera.|Perro|Campus Medellín - Edificio San Ignacio|2026-02-08 12:38:07|Registrada|jbedoya_udea
21|Leonardo David Muñoz Betancur|NIT|842664015|Corporativo|3041299046|leonardo.betancur21@outlook.com|Carrera 37 #24-28|Sugerencia|2026-08-22 11:11:49|Página web|Sugerencia de sala de espera diferenciada|Propongo habilitar una sala de espera diferenciada para perros y gatos, ya que mi otro se estresó durante la espera.|Otro|Campus Medellín - Edificio San Ignacio|2026-09-21 11:11:49|En proceso|dgiraldo_udea
22|Catalina José Vélez Vélez|NIT|800942461|Celular|3153776873|catalina.velez22@correo.com|Transversal 53 #76-68|Sugerencia|2026-03-14 15:24:27|Página web|Sugerencia de jornadas de vacunación|Sugiero realizar jornadas periódicas de vacunación gratuita en los distintos campus.|Perro|Campus Medellín - Casas Patrimoniales|2026-04-13 15:24:27|Registrada|admin_udea
23|Sebastián Sofía Duque Vélez|TI|1056372899|Otro|3243846324|sebastian.velez23@outlook.com|Transversal 9 #16-15|Sugerencia|2026-07-08 11:50:58|Redes sociales|Sugerencia de recordatorios|Propongo enviar recordatorios por correo o mensaje de texto antes de las citas programadas.|Perro|Campus en el Área de la salud|2026-08-07 11:50:58|En proceso|fherrera_udea
24|Esteban Andrés Higuita Pérez|CE|1012382255|Fijo|3159235645|esteban.perez24@hotmail.com|Calle 3 #73-78|Sugerencia|2026-01-23 16:23:41|Correo electrónico|Sugerencia de sala de espera diferenciada|Propongo habilitar una sala de espera diferenciada para perros y gatos, ya que mi otro se estresó durante la espera.|Otro|Campus Medellín - Edificio de Extensión|2026-02-22 16:23:41|Solucionada|scardenas_udea
25|Emmanuel Alejandro Zapata Cárdenas|PP|1090546181|Fijo|3057884908|emmanuel.cardenas25@gmail.com|Diagonal 65 #74-22|Sugerencia|2026-02-22 12:09:26|Otro|Sugerencia de recordatorios|Propongo enviar recordatorios por correo o mensaje de texto antes de las citas programadas.|Gato|Campus Medellín - Antigua Escuela de Derecho|2026-03-24 12:09:26|Registrada|rquintero_udea
26|Mauricio David Villa Vargas|TI|1029019690|Celular|3294498997|mauricio.vargas26@correo.com|Diagonal 93 #62-48|Sugerencia|2026-09-27 08:08:41|Teléfono|Sugerencia de ampliar horario|Sugiero ampliar el horario de atención los fines de semana para facilitar el acceso al servicio para casos como el de mi perro.|Perro|Campus en el Área de la salud|2026-10-27 08:08:41|Solucionada|scardenas_udea
27|Fernando Fernanda Serna Salazar|NIT|842009841|Corporativo|3247875757|fernando.salazar27@outlook.com|Diagonal 4 #59-21|Sugerencia|2026-09-14 15:30:04|Redes sociales|Sugerencia de recordatorios|Propongo enviar recordatorios por correo o mensaje de texto antes de las citas programadas.|Gato|Campus Medellín - Sede de Posgrado|2026-10-14 15:30:04|Registrada|dgiraldo_udea
28|Vanessa Camila Betancur Ospina|NIT|864501795|Corporativo|3097716627|vanessa.ospina28@udea.edu.co|Diagonal 113 #23-32|Sugerencia|2026-01-25 12:23:41|Presencial|Sugerencia de canal de agendamiento|Sería útil contar con un canal de agendamiento en línea para las citas del hospital veterinario.|Otro|Campus Medellín - Ciudad Universitaria|2026-02-24 12:23:41|Solucionada|cparra_udea
29|Catalina Andrés Osorio Quintero|NIT|882667930|Celular|3212510848|catalina.quintero29@correo.com|Carrera 63 #56-70|Sugerencia|2026-08-21 07:20:48|Teléfono|Sugerencia de canal de agendamiento|Sería útil contar con un canal de agendamiento en línea para las citas del hospital veterinario.|Otro|Campus Medellín - Ciudad Universitaria|2026-09-20 07:20:48|Solucionada|mvelez_udea
30|Natalia Andrés Betancur Vargas|PP|1090443412|Corporativo|3268697680|natalia.vargas30@gmail.com|Calle 10 #51-12|Sugerencia|2026-09-01 09:13:01|Teléfono|Sugerencia de recordatorios|Propongo enviar recordatorios por correo o mensaje de texto antes de las citas programadas.|Perro|Campus en el Área de la salud|2026-10-01 09:13:01|Solucionada|lrestrepo_udea
31|Jorge Antonia Betancourt Ceballos|NIT|884504270|Otro|3063458286|jorge.ceballos31@correo.com|Diagonal 51 #39-53|Sugerencia|2026-09-23 15:15:29|Redes sociales|Sugerencia de sala de espera diferenciada|Propongo habilitar una sala de espera diferenciada para perros y gatos, ya que mi gato se estresó durante la espera.|Gato|Campus Medellín - Ciudad Universitaria|2026-10-23 15:15:29|Solucionada|lrestrepo_udea
32|Juliana Bedoya Aristizábal|CC|1013691148|Otro|3251685331|juliana.aristizabal32@hotmail.com|N/A|Sugerencia|2026-06-10 14:30:09|Teléfono|Sugerencia de sala de espera diferenciada|Propongo habilitar una sala de espera diferenciada para perros y gatos, ya que mi perro se estresó durante la espera.|Perro|Campus Medellín - Sede de Posgrado|2026-07-10 14:30:09|Solucionada|dgiraldo_udea
33|Carolina Alejandro Aristizábal Correa|TI|1098791961|Fijo|3065669330|carolina.correa33@hotmail.com|Diagonal 110 #66-2|Sugerencia|2026-09-24 09:51:13|Teléfono|Sugerencia de ampliar horario|Sugiero ampliar el horario de atención los fines de semana para facilitar el acceso al servicio para casos como el de mi otro.|Otro|Campus Medellín - Ciudad Universitaria|2026-10-24 09:51:13|Registrada|admin_udea
34|Esteban Antonia Osorio Castaño|CE|1032630098|Celular|3182162174|esteban.castano34@gmail.com|Carrera 53 #89-65|Sugerencia|2026-02-14 08:31:04|Redes sociales|Sugerencia de jornadas de vacunación|Sugiero realizar jornadas periódicas de vacunación gratuita en los distintos campus.|Perro|Campus Medellín - Edificio de Extensión|2026-03-16 08:31:04|En proceso|dgiraldo_udea
35|Fernando Fernanda Ospina Giraldo|TI|1081428824|Fijo|3212019152|fernando.giraldo35@udea.edu.co|Carrera 11 #71-66|Sugerencia|2026-01-20 11:13:35|Correo electrónico|Sugerencia de jornadas de vacunación|Sugiero realizar jornadas periódicas de vacunación gratuita en los distintos campus.|Gato|Campus Medellín - Casas Patrimoniales|2026-02-19 11:13:35|Solucionada|dgiraldo_udea
36|Angélica Camila Bedoya Uribe|TI|1022649610|Celular|3266755449|angelica.uribe36@correo.com|Avenida 88 #46-61|Sugerencia|2026-01-06 16:53:04|Presencial|Sugerencia de ampliar horario|Sugiero ampliar el horario de atención los fines de semana para facilitar el acceso al servicio para casos como el de mi gato.|Gato|Campus Medellín - Edificio San Ignacio|2026-02-05 16:53:04|En proceso|dgiraldo_udea
37|Estefanía Valentina Giraldo Palacio|CE|1062623526|Corporativo|3144622861|estefania.palacio37@outlook.com|Avenida 64 #54-20|Sugerencia|2026-03-22 16:23:12|Teléfono|Sugerencia de canal de agendamiento|Sería útil contar con un canal de agendamiento en línea para las citas del hospital veterinario.|Otro|Campus Medellín - Sede de Posgrado|2026-04-21 16:23:12|En proceso|mtorres_udea
38|Daniela Alejandro Ríos Betancur|CE|1080176700|Corporativo|3185862511|daniela.betancur38@hotmail.com|Calle 91 #62-17|Sugerencia|2026-06-14 12:41:10|Correo electrónico|Sugerencia de canal de agendamiento|Sería útil contar con un canal de agendamiento en línea para las citas del hospital veterinario.|Gato|Campus en el Área de la salud|2026-07-14 12:41:10|Solucionada|mvelez_udea
39|Esteban Alejandro Betancourt Ramírez|PP|1008332478|Otro|3209617140|esteban.ramirez39@hotmail.com|Avenida 16 #65-52|Sugerencia|2026-01-17 15:56:30|Teléfono|Sugerencia de sala de espera diferenciada|Propongo habilitar una sala de espera diferenciada para perros y gatos, ya que mi perro se estresó durante la espera.|Perro|Campus Medellín - Ciudad Universitaria|2026-02-16 15:56:30|En proceso|jbedoya_udea
40|Diego Alejandro Ocampo Gómez|PP|1081152569|Celular|3161030403|diego.gomez40@hotmail.com|Transversal 63 #14-44|Sugerencia|2026-06-23 09:41:46|Página web|Sugerencia de canal de agendamiento|Sería útil contar con un canal de agendamiento en línea para las citas del hospital veterinario.|Otro|Campus Medellín - Edificio de Extensión|2026-07-23 09:41:46|En proceso|dgiraldo_udea
41|Juliana Esteban Builes Higuita|PP|1050836990|Otro|3266472862|juliana.higuita41@gmail.com|Calle 105 #41-99|Sugerencia|2026-07-20 09:55:23|Página web|Sugerencia de recordatorios|Propongo enviar recordatorios por correo o mensaje de texto antes de las citas programadas.|Perro|Campus Medellín - Casas Patrimoniales|2026-08-19 09:55:23|Registrada|lrestrepo_udea
42|Estefanía Valentina Osorio Correa|NIT|842586921|Otro|3129202722|estefania.correa42@udea.edu.co|Transversal 63 #89-26|Sugerencia|2026-02-17 15:53:49|Correo electrónico|Sugerencia de canal de agendamiento|Sería útil contar con un canal de agendamiento en línea para las citas del hospital veterinario.|Gato|Campus Medellín - Ciudad Universitaria|2026-03-19 15:53:49|Solucionada|fherrera_udea
43|Santiago Gutiérrez Bedoya|PP|1000489302|Fijo|3174915965|santiago.bedoya43@hotmail.com|Transversal 88 #1-25|Sugerencia|2026-06-12 07:23:57|Otro|Sugerencia de sala de espera diferenciada|Propongo habilitar una sala de espera diferenciada para perros y gatos, ya que mi otro se estresó durante la espera.|Otro|Campus Medellín - Edificio San Ignacio|2026-07-12 07:23:57|Solucionada|lrestrepo_udea
44|Alejandra Andrés Muñoz Palacio|CC|1095474218|Corporativo|3287474883|alejandra.palacio44@gmail.com|Carrera 42 #1-69|Sugerencia|2026-04-07 09:03:43|Redes sociales|Sugerencia de sala de espera diferenciada|Propongo habilitar una sala de espera diferenciada para perros y gatos, ya que mi perro se estresó durante la espera.|Perro|Campus en el Área de la salud|2026-05-07 09:03:43|Solucionada|mtorres_udea
45|Nicolás Fernanda Peña Londoño|CC|1034824120|Corporativo|3037595850|nicolas.londono45@gmail.com|Avenida 49 #36-91|Sugerencia|2026-01-11 07:49:56|Correo electrónico|Sugerencia de sala de espera diferenciada|Propongo habilitar una sala de espera diferenciada para perros y gatos, ya que mi gato se estresó durante la espera.|Gato|Campus Medellín - Ciudad Universitaria|2026-02-10 07:49:56|Solucionada|admin_udea
